Player,Nation,Position,Team,Age,Weekly,Annual
Alphonse Areola,FRA,GK,West Ham,31,146550,7620614
Cody Gakpo,NED,FW,Liverpool,25,146550,7620614
Dominik Szoboszlai,HUN,MF,Liverpool,23,146550,7620614
John McGinn,SCO,"MF,FW",Aston Villa,29,146550,7620614
Leon Bailey,JAM,"FW,MF",Aston Villa,26,146550,7620614
Lucas Digne,FRA,DF,Aston Villa,31,146550,7620614
Alexander Isak,SWE,FW,Newcastle Utd,24,146550,7620614
Kieran Trippier,ENG,DF,Newcastle Utd,33,146550,7620614
Sandro Tonali,ITA,MF,Newcastle Utd,24,146550,7620614
Tosin Adarabioyo,ENG,DF,Chelsea,26,146550,7620614
Idrissa Gana Gueye,SEN,MF,Everton,34,146550,7620614
Marco Asensio,ESP,MF,Aston Villa,28,156396,8132578
James Ward-Prowse,ENG,MF,West Ham,29,154382,8027867
Leny Yoro,,CB,Manchester Utd,19,140444,7303088
Raheem Sterling,ENG,"FW,MF",Arsenal,29,147670,7678829
Jorginho,ITA,MF,Arsenal,32,134338,6985563
Kieran Tierney,SCO,"DF,FW",Arsenal,27,134338,6985563
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24,134338,6985563
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23,128231,6668037
Daichi Kamada,JPN,MF,Crystal Palace,27,128231,6668037
Nikola Milenković,SRB,DF,Nott'ham Forest,26,128231,6668037
Ben Chilwell,ENG,DF,Crystal Palace,27,134245,6980754
David Raya,ESP,GK,Arsenal,28,122125,6350511
Gabriel Magalhães,BRA,DF,Arsenal,26,122125,6350511
Takehiro Tomiyasu,JPN,DF,Arsenal,25,122125,6350511
Dean Henderson,ENG,GK,Crystal Palace,27,122125,6350511
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,122125,6350511
Edson Álvarez,MEX,MF,West Ham,26,122125,6350511
Max Kilman,ENG,DF,West Ham,27,122125,6350511
Diego Carlos,BRA,DF,Aston Villa,31,122125,6350511
Ian Maatsen,NED,DF,Aston Villa,22,122125,6350511
Pau Torres,ESP,DF,Aston Villa,27,122125,6350511
Tyrone Mings,ENG,DF,Aston Villa,31,122125,6350511
Matt Targett,ENG,DF,Newcastle Utd,28,122125,6350511
Ederson,BRA,GK,Manchester City,30,122125,6350511
Carney Chukwuemeka,ENG,CM,Chelsea,20,122125,6350511
Levi Colwill,ENG,DF,Chelsea,21,122125,6350511
Mykhailo Mudryk,UKR,FW,Chelsea,23,122125,6350511
Nicolas Jackson,SEN,FW,Chelsea,23,122125,6350511
Dominic Calvert-Lewin,ENG,FW,Everton,27,122125,6350511
James Tarkowski,ENG,DF,Everton,31,122125,6350511
Raúl Jiménez,MEX,FW,Fulham,33,122125,6350511
Reiss Nelson,ENG,FW,Fulham,24,122125,6350511
Emerson Palmieri,ITA,DF,West Ham,29,116019,6032986
Jurriën Timber,NED,DF,Arsenal,23,109913,5715460
Leandro Trossard,BEL,FW,Arsenal,29,109913,5715460
Dominic Solanke,ENG,FW,Tottenham,26,109913,5715460
Richarlison,BRA,FW,Tottenham,27,109913,5715460
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25,109913,5715460
Aaron Wan-Bissaka,ENG,DF,West Ham,26,109913,5715460
Mohammed Kudus,,AM,West Ham,24,109913,5715460
Niclas Füllkrug,GER,FW,West Ham,31,109913,5715460
Tomáš Souček,CZE,MF,West Ham,29,109913,5715460
Gonçalo Guedes,POR,"MF,FW",Wolves,27,109913,5715460
Pablo Sarabia,ESP,"MF,FW",Wolves,32,109913,5715460
Harry Winks,ENG,MF,Leicester City,28,109913,5715460
Odsonne Édouard,FRA,FW,Leicester City,26,109913,5715460
Sven Botman,NED,DF,Newcastle Utd,24,109913,5715460
Stefan Ortega,GER,GK,Manchester City,31,109913,5715460
Benoît Badiashile,FRA,DF,Chelsea,23,109913,5715460
Jack Harrison,ENG,FW,Everton,27,109913,5715460
Joachim Andersen,DEN,DF,Fulham,28,109913,5715460
Leander Dendoncker,BEL,DM,Aston Villa,29,117817,6126483
Willian,BRA,"FW,MF",Fulham,35,117817,6126483
Ferdi Kadioglu,TUR,"DF,MF",Brighton,24,106860,5556698
Diogo Dalot,POR,DF,Manchester Utd,25,103806,5397935
Rasmus Højlund,DEN,FW,Manchester Utd,21,103806,5397935
Pedro Porro,ESP,DF,Tottenham,24,103806,5397935
Radu Drăgușin,ROU,DF,Tottenham,22,103806,5397935
Evanilson,BRA,FW,Bournemouth,24,103806,5397935
Michail Antonio,JAM,FW,West Ham,34,103806,5397935
Joe Gomez,ENG,DF,Liverpool,27,103806,5397935
Mathys Tel,FRA,FW,Tottenham,19,107396,5584603
Ben Davies,WAL,DF,Tottenham,31,97700,5080409
Justin Kluivert,NED,"MF,FW",Bournemouth,25,97700,5080409
Carlos Soler,ESP,"MF,FW",West Ham,27,97700,5080409
Matty Cash,POL,DF,Aston Villa,26,97700,5080409
Nélson Semedo,POR,DF,Wolves,30,97700,5080409
Boubakary Soumaré,FRA,MF,Leicester City,25,97700,5080409
Ricardo Pereira,POR,DF,Leicester City,30,97700,5080409
Harvey Barnes,ENG,FW,Newcastle Utd,26,97700,5080409
Joe Willock,ENG,"MF,FW",Newcastle Utd,24,97700,5080409
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25,97700,5080409
Kaoru Mitoma,JPN,"FW,MF",Brighton,27,97700,5080409
Lewis Dunk,ENG,DF,Brighton,32,97700,5080409
Michael Keane,ENG,DF,Everton,31,97700,5080409
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23,97700,5080409
Chris Wood,NZL,FW,Nott'ham Forest,32,97700,5080409
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,97700,5080409
Alex Iwobi,NGA,"FW,MF",Fulham,28,97700,5080409
Ben Godfrey,ENG,DF,Ipswich Town,26,100684,5235566
Tyrell Malacia,NED,DF,Manchester Utd,24,91594,4762884
Archie Gray,,CM,Tottenham,18,91594,4762884
Destiny Udogie,ITA,DF,Tottenham,21,91594,4762884
Fraser Forster,ENG,GK,Tottenham,36,91594,4762884
Guglielmo Vicario,ITA,GK,Tottenham,27,91594,4762884
Rodrigo Bentancur,URU,MF,Tottenham,27,91594,4762884
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,91594,4762884
Guido Rodríguez,ARG,MF,West Ham,30,91594,4762884
Kostas Tsimikas,GRE,DF,Liverpool,28,91594,4762884
Emi Buendía,ARG,"MF,FW",Aston Villa,27,91594,4762884
Ezri Konsa,ENG,DF,Aston Villa,26,91594,4762884
Jáder Durán,COL,FW,Aston Villa,20,91594,4762884
Morgan Rogers,ENG,"FW,MF",Aston Villa,22,91594,4762884
Conor Coady,ENG,DF,Leicester City,31,91594,4762884
Patson Daka,ZAM,"FW,MF",Leicester City,25,91594,4762884
Wilfred Ndidi,NGA,MF,Leicester City,27,91594,4762884
Georginio Rutter,FRA,"MF,FW",Brighton,22,91594,4762884
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26,91594,4762884
Jan Bednarek,POL,DF,Southampton,28,85488,4445358
Joe Aribo,NGA,"MF,DF",Southampton,28,85488,4445358
Brennan Johnson,WAL,FW,Tottenham,23,85488,4445358
Pape Matar Sarr,SEN,MF,Tottenham,21,85488,4445358
Cheick Doucouré,MLI,MF,Crystal Palace,24,85488,4445358
Ismaila Sarr,SEN,MF,Crystal Palace,26,85488,4445358
Jefferson Lerma,COL,"MF,DF",Crystal Palace,29,85488,4445358
Ryan Christie,SCO,MF,Bournemouth,29,85488,4445358
Ibrahima Konaté,FRA,DF,Liverpool,25,85488,4445358
Jacob Ramsey,ENG,"FW,MF",Aston Villa,23,85488,4445358
Hwang Hee-chan,KOR,"MF,FW",Wolves,28,85488,4445358
Aaron Hickey,SCO,RB,Brentford,22,85488,4445358
Issa Diop,FRA,DF,Fulham,27,85488,4445358
Mason Holgate,ENG,"FW,DF",Everton,27,91635,4765042
Jonny Evans,NIR,DF,Manchester Utd,36,79381,4127832
Maxwel Cornet,CIV,FW,Southampton,27,79381,4127832
Luis Sinisterra,COL,"FW,MF",Bournemouth,25,79381,4127832
Łukasz Fabiański,POL,GK,West Ham,39,79381,4127832
Adama Traoré,ESP,"FW,MF",Fulham,28,79381,4127832
Timothy Castagne,BEL,DF,Fulham,28,79381,4127832
Nathaniel Phillips,ENG,CB,Liverpool,27,85090,4424682
Saša Lukić,SRB,MF,Fulham,27,76939,4000822
Giorgi Mamardashvili,GEO,,Liverpool,24,80547,4188452
Nicolás González,ESP,MF,Manchester City,22,80547,4188452
Adam Armstrong,ENG,"FW,MF",Southampton,27,73275,3810307
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31,73275,3810307
Lewis Cook,ENG,"MF,DF",Bournemouth,27,73275,3810307
Tyler Adams,USA,MF,Bournemouth,25,73275,3810307
Matheus Cunha,BRA,"MF,FW",Wolves,25,73275,3810307
Jannik Vestergaard,DEN,DF,Leicester City,31,73275,3810307
Miguel Almirón,PAR,FW,Newcastle Utd,30,73275,3810307
Nick Pope,ENG,GK,Newcastle Utd,32,73275,3810307
Robert Sánchez,ESP,GK,Chelsea,26,73275,3810307
Danny Welbeck,ENG,FW,Brighton,33,73275,3810307
James Milner,ENG,MF,Brighton,38,73275,3810307
Mats Wieffer,NED,"MF,DF",Brighton,24,73275,3810307
Emile Smith Rowe,ENG,MF,Fulham,24,73275,3810307
Manor Solomon,ISR,LW,Tottenham,25,78545,4084322
Jakub Kiwior,POL,DF,Arsenal,24,70833,3683297
Vitaliy Mykolenko,UKR,DF,Everton,25,70833,3683297
Yves Bissouma,MLI,MF,Tottenham,27,67169,3492781
Chris Richards,USA,DF,Crystal Palace,24,67169,3492781
Luis Díaz,COL,FW,Liverpool,27,67169,3492781
Boubacar Traoré,MLI,MF,Wolves,22,67169,3492781
Dan Burn,ENG,DF,Newcastle Utd,32,67169,3492781
Emil Krafth,SWE,DF,Newcastle Utd,29,67169,3492781
Ben Mee,ENG,DF,Brentford,34,67169,3492781
Adam Webster,ENG,DF,Brighton,29,67169,3492781
Séamus Coleman,IRL,DF,Everton,35,67169,3492781
Sander Berge,NOR,MF,Fulham,26,67169,3492781
Sergio Reguilón,ESP,DF,Tottenham,27,64726,3365771
Marshall Munetsi,ZIM,"MF,FW",Wolves,28,67123,3490377
Jesper Lindstrøm,DEN,FW,Everton,24,67123,3490377
Neto,BRA,GK,Arsenal,35,61063,3175256
Alejandro Garnacho,,LW,Manchester Utd,20,61063,3175256
Djed Spence,ENG,DF,Tottenham,23,61063,3175256
Micky van de Ven,NED,DF,Tottenham,23,61063,3175256
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27,61063,3175256
Marc Guéhi,ENG,DF,Crystal Palace,24,61063,3175256
Maxence Lacroix,FRA,DF,Crystal Palace,24,61063,3175256
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33,61063,3175256
Trevoh Chalobah,ENG,DF,Crystal Palace,25,61063,3175256
Will Hughes,ENG,MF,Crystal Palace,29,61063,3175256
Antoine Semenyo,GHA,FW,Bournemouth,24,61063,3175256
David Brooks,WAL,"FW,MF",Bournemouth,27,61063,3175256
Ilya Zabarnyi,,CB,Bournemouth,22,61063,3175256
Marcos Senesi,ARG,DF,Bournemouth,27,61063,3175256
Aaron Cresswell,ENG,DF,West Ham,34,61063,3175256
Konstantinos Mavropanos,GRE,DF,West Ham,26,61063,3175256
Wataru Endo,JPN,"MF,DF",Liverpool,31,61063,3175256
Robin Olsen,SWE,GK,Aston Villa,34,61063,3175256
Matt Doherty,IRL,DF,Wolves,32,61063,3175256
Hamza Choudhury,BAN,"MF,DF",Leicester City,26,61063,3175256
Oliver Skipp,ENG,MF,Leicester City,23,61063,3175256
Wout Faes,BEL,DF,Leicester City,26,61063,3175256
Odisseas Vlachodimos,GRE,GK,Newcastle Utd,30,61063,3175256
Sean Longstaff,ENG,MF,Newcastle Utd,26,61063,3175256
Valentino Livramento,ENG,DF,Newcastle Utd,21,61063,3175256
Jeremy Doku,BEL,"FW,MF",Manchester City,22,61063,3175256
Oscar Bobb,,RW,Manchester City,21,61063,3175256
Igor Thiago,,CF,Brentford,23,61063,3175256
Mathias Jensen,DEN,MF,Brentford,28,61063,3175256
Filip Jørgensen,DEN,GK,Chelsea,22,61063,3175256
Marc Guiu,,CF,Chelsea,18,61063,3175256
Noni Madueke,,RW,Chelsea,22,61063,3175256
Brajan Gruda,,RW,Brighton,20,61063,3175256
João Pedro,BRA,"FW,MF",Brighton,22,61063,3175256
Joël Veltman,NED,DF,Brighton,32,61063,3175256
Matt O'Riley,DEN,MF,Brighton,23,61063,3175256
Pervis Estupiñán,ECU,DF,Brighton,26,61063,3175256
Solly March,ENG,"FW,MF",Brighton,30,61063,3175256
Beto,GNB,FW,Everton,26,61063,3175256
Orel Mangala,BEL,MF,Everton,26,61063,3175256
Neco Williams,WAL,DF,Nott'ham Forest,23,61063,3175256
Ryan Yates,ENG,MF,Nott'ham Forest,26,61063,3175256
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,61063,3175256
Andreas Pereira,BRA,MF,Fulham,28,61063,3175256
Antonee Robinson,USA,DF,Fulham,26,61063,3175256
Harrison Reed,ENG,MF,Fulham,29,61063,3175256
Kenny Tete,NED,DF,Fulham,28,61063,3175256
Callum Wilson,ENG,FW,Newcastle Utd,32,56178,2921235
Emmanuel Agbadou,CIV,DF,Wolves,27,60410,3141339
Tom Heaton,ENG,GK,Manchester Utd,38,54956,2857730
Adam Lallana,ENG,MF,Southampton,36,54956,2857730
Jack Stephens,ENG,DF,Southampton,30,54956,2857730
Lesley Ugochukwu,FRA,MF,Southampton,20,54956,2857730
Daniel Muñoz,COL,DF,Crystal Palace,28,54956,2857730
Rob Holding,ENG,DF,Crystal Palace,28,54956,2857730
Philip Billing,DEN,MF,Bournemouth,28,54956,2857730
Craig Dawson,ENG,DF,Wolves,34,54956,2857730
Mario Lemina,GAB,"MF,DF",Wolves,30,54956,2857730
Fabian Schär,SUI,DF,Newcastle Utd,32,54956,2857730
Bryan Mbeumo,CMR,FW,Brentford,24,54956,2857730
Malo Gusto,FRA,DF,Chelsea,21,54956,2857730
Roméo Lavia,,DM,Chelsea,20,54956,2857730
Igor,BRA,DF,Brighton,26,54956,2857730
Iliman Ndiaye,SEN,FW,Everton,24,54956,2857730
Calvin Bassey,NGA,DF,Fulham,24,54956,2857730
Ryan Sessegnon,ENG,"FW,DF",Fulham,24,54956,2857730
Fabio Vieira,POR,AM,Arsenal,24,58908,3063241
Patrick Dorgu,,LB,Manchester Utd,20,53698,2792302
Axel Disasi,FRA,DF,Aston Villa,26,53698,2792302
Vitor Reis,,CB,Manchester City,19,53698,2792302
Alex McCarthy,ENG,GK,Southampton,34,48850,2540205
Cameron Archer,ENG,FW,Southampton,23,48850,2540205
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22,48850,2540205
Ryan Fraser,SCO,"FW,DF",Southampton,30,48850,2540205
Yukinari Sugawara,JPN,"DF,MF",Southampton,24,48850,2540205
Matheus França,,AM,Crystal Palace,20,48850,2540205
Matt Turner,USA,GK,Crystal Palace,30,48850,2540205
Tyrick Mitchell,ENG,DF,Crystal Palace,24,48850,2540205
Adam Smith,ENG,DF,Bournemouth,33,48850,2540205
Alex Scott,ENG,MF,Bournemouth,20,48850,2540205
Harvey Elliott,ENG,"MF,FW",Liverpool,21,48850,2540205
Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,22,48850,2540205
José Sá,POR,GK,Wolves,31,48850,2540205
Sam Johnstone,ENG,GK,Wolves,31,48850,2540205
Danny Ward,WAL,GK,Leicester City,31,48850,2540205
Jamaal Lascelles,ENG,DF,Newcastle Utd,30,48850,2540205
Martin Dúbravka,SVK,GK,Newcastle Utd,35,48850,2540205
Axel Tuanzebe,COD,DF,Ipswich Town,26,48850,2540205
Sávio,BRA,"FW,MF",Manchester City,20,48850,2540205
Fabio Carvalho,POR,"FW,MF",Brentford,21,48850,2540205
Kristoffer Ajer,NOR,DF,Brentford,26,48850,2540205
Yankuba Minteh,,RW,Brighton,20,48850,2540205
Armando Broja,ALB,FW,Everton,22,48850,2540205
Ashley Young,ENG,DF,Everton,39,48850,2540205
Elliot Anderson,ENG,MF,Nott'ham Forest,21,48850,2540205
Emmanuel Dennis,NGA,CF,Nott'ham Forest,26,48850,2540205
Ola Aina,NGA,DF,Nott'ham Forest,27,48850,2540205
Willy Boly,CIV,DF,Nott'ham Forest,33,48850,2540205
Carlos Vinícius,BRA,"MF,FW",Fulham,29,48850,2540205
Stefan Bajcetic,,DM,Liverpool,20,52363,2722881
Harry Souttar,AUS,CB,Leicester City,26,52363,2722881
Deivid Washington,,CF,Chelsea,19,52363,2722881
Jens Cajuste,SWE,MF,Ipswich Town,24,46986,2443264
Altay Bayındır,TUR,GK,Manchester Utd,26,42744,2222679
Ben Brereton,CHI,FW,Southampton,25,42744,2222679
Adam Wharton,,DM,Crystal Palace,20,42744,2222679
Joel Ward,ENG,DF,Crystal Palace,34,42744,2222679
Dango Ouattara,BFA,FW,Bournemouth,22,42744,2222679
Marcus Tavernier,ENG,"FW,MF",Bournemouth,25,42744,2222679
Max Aarons,ENG,DF,Bournemouth,24,42744,2222679
Vladimír Coufal,CZE,DF,West Ham,31,42744,2222679
André,BRA,MF,Wolves,23,42744,2222679
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,42744,2222679
Sasa Kalajdzic,AUT,CF,Wolves,27,42744,2222679
Bilal El Khannouss,,AM,Leicester City,20,42744,2222679
Bobby De Cordova-Reid,JAM,FW,Leicester City,31,42744,2222679
Jacob Murphy,ENG,FW,Newcastle Utd,29,42744,2222679
Arijanet Muric,KVX,GK,Ipswich Town,25,42744,2222679
Dara O'Shea,IRL,DF,Ipswich Town,25,42744,2222679
Christian Nørgaard,DEN,MF,Brentford,30,42744,2222679
Keane Lewis-Potter,ENG,"DF,FW",Brentford,23,42744,2222679
Rico Henry,ENG,DF,Brentford,27,42744,2222679
Marcus Bettinelli,ENG,GK,Chelsea,32,42744,2222679
Bart Verbruggen,NED,GK,Brighton,21,42744,2222679
Tariq Lamptey,GHA,DF,Brighton,23,42744,2222679
Jake O'Brien,,CB,Everton,23,42744,2222679
Jarrad Branthwaite,ENG,DF,Everton,22,42744,2222679
Andrew Omobamidele,IRL,DF,Nott'ham Forest,22,42744,2222679
Harry Toffolo,ENG,DF,Nott'ham Forest,28,42744,2222679
Matz Sels,BEL,GK,Nott'ham Forest,32,42744,2222679
Morato,BRA,DF,Nott'ham Forest,23,42744,2222679
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26,42744,2222679
Harry Wilson,WAL,"FW,MF",Fulham,27,42744,2222679
Chris Mepham,WAL,CB,Bournemouth,27,45818,2382521
Evan Ferguson,IRL,FW,West Ham,19,40274,2094226
Samuel Iling-Junior,ENG,LW,Aston Villa,21,40274,2094226
Fábio Silva,POR,,Wolves,22,40274,2094226
Michael Kayode,,RB,Brentford,20,40274,2094226
Charlie Taylor,ENG,DF,Southampton,30,36638,1905153
Flynn Downes,ENG,MF,Southampton,25,36638,1905153
Paul Onuachu,NGA,FW,Southampton,30,36638,1905153
Chadi Riad,,CB,Crystal Palace,21,36638,1905153
Dean Huijsen,,CB,Bournemouth,19,36638,1905153
Milos Kerkez,HUN,DF,Bournemouth,20,36638,1905153
Crysencio Summerville,NED,"FW,MF",West Ham,22,36638,1905153
Jarell Quansah,,CB,Liverpool,21,36638,1905153
João Gomes,BRA,MF,Wolves,23,36638,1905153
Santiago Bueno,URU,DF,Wolves,25,36638,1905153
James Justin,ENG,DF,Leicester City,26,36638,1905153
Jordan Ayew,GHA,"FW,MF",Leicester City,32,36638,1905153
Ben Johnson,ENG,"DF,FW",Ipswich Town,24,36638,1905153
Sam Morsy,EGY,MF,Ipswich Town,32,36638,1905153
Scott Carson,ENG,GK,Manchester City,38,36638,1905153
Ethan Pinnock,JAM,DF,Brentford,31,36638,1905153
Josh Dasilva,ENG,CM,Brentford,25,36638,1905153
Mark Flekken,NED,GK,Brentford,31,36638,1905153
Mikkel Damsgaard,DEN,"MF,FW",Brentford,24,36638,1905153
Nathan Collins,IRL,DF,Brentford,23,36638,1905153
Vitaly Janelt,GER,MF,Brentford,26,36638,1905153
Jan Paul van Hecke,NED,DF,Brighton,24,36638,1905153
Asmir Begović,BIH,GK,Everton,37,36638,1905153
James Garner,ENG,"MF,DF",Everton,23,36638,1905153
Youssef Chermiti,,CF,Everton,20,36638,1905153
Danilo,BRA,"MF,FW",Nott'ham Forest,23,36638,1905153
Murillo,,CB,Nott'ham Forest,22,36638,1905153
Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,24,36638,1905153
Tom Cairney,SCO,MF,Fulham,33,36638,1905153
Amad Diallo,CIV,"MF,FW",Manchester Utd,22,35228,1831878
Nathan Patterson,SCO,DF,Everton,22,34195,1778143
George Hirst,SCO,FW,Ipswich Town,25,33584,1746391
Kevin Danso,AUT,DF,Tottenham,25,33561,1745189
Đorđe Petrović,SRB,,Chelsea,25,33561,1745189
Diego Gómez,,CM,Brighton,21,33561,1745189
William Smallbone,IRL,MF,Southampton,24,30531,1587628
Wilson Odobert,,LW,Tottenham,20,30531,1587628
Julian Araujo,MEX,DF,Bournemouth,22,30531,1587628
Luis Guilherme,,RW,West Ham,18,30531,1587628
Rodrigo Gomes,POR,"DF,FW",Wolves,21,30531,1587628
Toti Gomes,POR,DF,Wolves,25,30531,1587628
Caleb Okoli,ITA,DF,Leicester City,23,30531,1587628
Facundo Buonanotte,,AM,Leicester City,20,30531,1587628
Victor Kristiansen,,LB,Leicester City,21,30531,1587628
Chiedozie Ogbene,IRL,FW,Ipswich Town,27,30531,1587628
Jack Clarke,ENG,"FW,MF",Ipswich Town,23,30531,1587628
Jacob Greaves,ENG,DF,Ipswich Town,23,30531,1587628
Leif Davis,ENG,DF,Ipswich Town,24,30531,1587628
Sammie Szmodics,IRL,"FW,MF",Ipswich Town,28,30531,1587628
Rico Lewis,,RB,Manchester City,20,30531,1587628
Gustavo Nunes,,LW,Brentford,19,30531,1587628
Yoane Wissa,COD,FW,Brentford,27,30531,1587628
Renato Veiga,,LB,Chelsea,21,30531,1587628
Dwight McNeil,ENG,"MF,FW",Everton,24,30531,1587628
