name,nation,position,team,age,born,played,starts,minutes,goals,assists,penalty_kicks,penalty_kick_attempts,yellow,red,expected_goals,progressive_carries,progressive_passes,received_progressive_passes
Pervis Estupiñán,Ecuador,DF,Brighton,27.0,1998.0,30,26,2402,1,1,0,0,5,0,1.2,59,132,112
Evanilson,Brazil,FW,Bournemouth,25.0,1999.0,30,27,2230,10,1,0,1,1,1,12.2,28,27,95
Jake Evans,,FW,Leicester City,,,3,0,19,0,0,0,0,0,0,0.0,0,0,1
Jonny Evans,Northern Ireland,DF,Manchester Utd,37.0,1988.0,6,3,290,0,0,0,0,1,0,0.1,1,8,2
Eberechi Eze,England,"MF,FW",Crystal Palace,26.0,1998.0,33,30,2527,8,8,1,2,1,0,10.4,68,96,152
Łukasz Fabiański,Poland,GK,West Ham,40.0,1985.0,13,12,1070,0,0,0,0,2,0,0.0,0,0,0
Wout Faes,Belgium,DF,Leicester City,27.0,1998.0,33,29,2725,1,0,0,0,4,0,1.5,12,85,1
Abdul Fatawu Issahaku,Ghana,FW,Leicester City,21.0,2004.0,11,6,579,0,2,0,0,0,0,0.4,42,17,60
João Félix,Portugal,"FW,MF",Chelsea,25.0,1999.0,12,3,369,1,1,0,0,2,0,2.2,21,26,30
Evan Ferguson,Republic of Ireland,FW,West Ham,20.0,2004.0,8,1,156,0,0,0,0,0,0,0.6,1,1,7
Evan Ferguson,Republic of Ireland,FW,Brighton,20.0,2004.0,13,2,246,1,0,0,0,0,0,0.5,2,1,9
Bruno Fernandes,Portugal,MF,Manchester Utd,30.0,1994.0,35,34,2928,8,9,3,3,5,2,9.6,68,302,122
Mateus Fernandes,Portugal,MF,Southampton,20.0,2004.0,35,33,2819,2,3,0,0,8,0,3.9,76,140,108
Enzo Fernández,Argentina,MF,Chelsea,24.0,2001.0,35,31,2857,6,7,0,0,8,0,6.1,59,211,124
Mark Flekken,Netherlands,GK,Brentford,31.0,1993.0,36,36,3185,0,2,0,0,1,0,0.0,0,0,0
Phil Foden,England,"MF,FW",Manchester City,24.0,2000.0,27,20,1768,7,2,0,0,2,0,5.2,50,103,128
Wesley Fofana,France,DF,Chelsea,24.0,2000.0,14,14,1172,0,0,0,0,7,0,0.4,19,32,4
Carlos Forbs,Portugal,"MF,FW",Wolves,21.0,2004.0,10,1,239,0,0,0,0,2,0,0.1,10,8,28
Fraser Forster,England,GK,Tottenham,37.0,1988.0,7,7,630,0,0,0,0,0,0,0.0,0,0,0
Matheus França,Brazil,"MF,FW",Crystal Palace,21.0,2004.0,3,0,54,1,0,0,0,0,0,0.2,4,2,4
Ryan Fraser,Scotland,"FW,DF",Southampton,31.0,1994.0,8,4,306,0,0,0,0,0,1,0.0,10,8,18
Tyler Fredricson,England,DF,Manchester Utd,20.0,2005.0,2,2,165,0,0,0,0,0,0,0.0,2,8,0
Niclas Füllkrug,Germany,FW,West Ham,32.0,1993.0,17,5,719,3,2,0,0,2,0,2.0,6,13,28
Cody Gakpo,Netherlands,FW,Liverpool,26.0,1999.0,34,22,1845,10,3,0,0,5,0,7.0,56,52,259
Idrissa Gana Gueye,Senegal,MF,Everton,35.0,1989.0,36,34,2973,0,3,0,0,8,0,1.1,27,142,24
Andrés García,Spain,"DF,MF",Aston Villa,22.0,2003.0,7,5,318,0,0,0,0,0,0,0.0,26,15,28
Alejandro Garnacho,Argentina,"MF,FW",Manchester Utd,20.0,2004.0,36,23,2199,6,2,0,0,3,0,7.3,141,56,290
James Garner,England,"MF,DF",Everton,24.0,2001.0,20,16,1504,0,1,0,0,4,0,0.6,12,49,29
Tyrique George,England,FW,Chelsea,19.0,2006.0,8,1,183,1,1,0,0,1,0,0.2,9,3,22
Morgan Gibbs-White,England,MF,Nott'ham Forest,25.0,2000.0,33,33,2713,7,8,0,0,11,1,6.3,68,162,133
Billy Gilmour,Scotland,MF,Brighton,23.0,2001.0,2,1,98,0,0,0,0,0,0,0.1,2,11,2
Ben Godfrey,England,DF,Ipswich Town,27.0,1998.0,3,2,159,0,0,0,0,1,0,0.0,2,4,1
Martial Godo,England,"FW,DF",Fulham,22.0,2003.0,2,0,24,0,0,0,0,0,0,0.0,2,3,6
Michael Golding,England,MF,Leicester City,19.0,2006.0,1,0,1,0,0,0,0,0,0,0.0,0,0,0
João Gomes,Brazil,MF,Wolves,24.0,2001.0,35,34,2884,3,1,0,0,10,1,2.7,55,157,71
Rodrigo Gomes,Portugal,"DF,FW",Wolves,21.0,2003.0,24,7,784,2,0,0,0,0,0,0.7,22,26,79
Toti Gomes,Portugal,DF,Wolves,26.0,1999.0,30,29,2524,0,1,0,0,7,0,0.7,26,82,17
Diego Gómez,Paraguay,MF,Brighton,22.0,2003.0,15,4,470,0,0,0,0,0,0,0.7,7,25,15
Joe Gomez,England,DF,Liverpool,28.0,1997.0,9,6,519,0,0,0,0,1,0,0.3,5,35,2
Nicolás González,Spain,MF,Manchester City,23.0,2002.0,10,8,670,1,0,0,0,3,0,0.4,7,48,11
Anthony Gordon,England,"FW,MF",Newcastle Utd,24.0,2001.0,33,27,2389,6,5,1,2,2,0,8.0,118,95,209
Ryan Gravenberch,Netherlands,MF,Liverpool,23.0,2002.0,36,36,3093,0,4,0,0,5,0,1.1,67,174,54
Archie Gray,England,"DF,MF",Tottenham,19.0,2006.0,27,18,1661,0,0,0,0,1,0,0.0,7,39,17
Jack Grealish,England,"FW,MF",Manchester City,29.0,1995.0,20,7,721,1,1,0,0,3,0,1.1,69,52,118
Jacob Greaves,England,DF,Ipswich Town,24.0,2000.0,24,24,2115,1,0,0,0,5,0,1.3,10,63,9
Brajan Gruda,Germany,"MF,FW",Brighton,20.0,2004.0,20,7,612,1,4,0,0,0,0,1.1,19,21,51
Albert Grønbaek,Denmark,"FW,MF",Southampton,24.0,2001.0,4,2,143,0,0,0,0,0,0,0.1,1,1,3
Gonçalo Guedes,Portugal,"MF,FW",Wolves,28.0,1996.0,28,9,931,2,4,0,0,1,0,2.9,38,35,75
Marc Guéhi,England,DF,Crystal Palace,24.0,2000.0,34,34,3059,3,2,0,0,9,1,2.0,22,134,10
Luis Guilherme,Brazil,"MF,FW",West Ham,19.0,2006.0,12,1,150,0,0,0,0,0,0,0.4,4,5,16
Bruno Guimarães,Brazil,MF,Newcastle Utd,27.0,1997.0,37,37,3181,5,6,0,0,7,0,4.2,58,264,90
Marc Guiu,Spain,FW,Chelsea,19.0,2006.0,3,0,73,0,0,0,0,0,0,0.0,0,0,3
İlkay Gündoğan,Germany,MF,Manchester City,34.0,1990.0,32,24,2139,0,6,0,0,1,0,2.8,62,121,91
Malo Gusto,France,DF,Chelsea,22.0,2003.0,31,19,1849,0,1,0,0,4,0,1.7,49,119,85
Joško Gvardiol,Croatia,DF,Manchester City,23.0,2002.0,36,35,3187,5,0,0,0,2,0,4.4,89,256,119
Erling Haaland,Norway,FW,Manchester City,24.0,2000.0,30,30,2652,21,3,2,3,2,0,21.0,23,19,116
Lewis Hall,England,DF,Newcastle Utd,20.0,2004.0,27,24,2189,0,4,0,0,3,0,0.4,41,123,80
Ali Al Hamadi,Iraq,FW,Ipswich Town,23.0,2002.0,11,0,134,0,0,0,0,3,0,0.4,4,3,14
Marcus Harness,England,MF,Ipswich Town,29.0,1996.0,2,0,45,0,0,0,0,0,0,0.0,0,2,1
Jack Harrison,England,FW,Everton,28.0,1996.0,33,23,1986,1,0,0,0,0,0,3.5,71,48,123
